ID,Url,Price,Name,Manufacturer,Image,Image_Url,Compatibility,Cooling_Potential,Fan_RPM,Noise_Level,Dimensions
87,https://www.jimms.fi/fi/Product/Show/107571/sst-ar04/silverstone-argon-sst-ar04-low-profile-cpu-jaahdytin-80mm-tuulettimella,31,Argon sst-ar04 low-profile cpu-jäähdytin 80mm tuulettimella,SilverStone,COOLER_114065-ig800gg.jpg,https://ic.jimms.fi/product/6/4/114065-ig800gg.jpg,"Intel socket lga115x/1200,",,"80mm x 80mm x 10mm, 18-26 dba, liukulaakeri, 48cfm, 1500~3400rpm","80mm x 80mm x 10mm, 18-26 dba, liukulaakeri, 48cfm, 1500~3400rpm",104mm (l) x 95mm (s) x 23mm (k) (tuulettimella)
88,https://www.jimms.fi/fi/Product/Show/188047/metal-dt24-premium/montech-metal-dt24-premium-prosessorijaahdytin,82.9,Metal dt24 premium,Montech,COOLER_418460-ig800gg.jpg,https://ic.jimms.fi/product/6/9/418460-ig800gg.jpg,Lga 115x / 1200 / 1700; amd: am4 / am5,270 w,800 ~ 1950 rpm (+/- 10 %),Jäähdytin; kiinnityssarja; tuulettimet; lämpötahna; tuuletinkiinnike; low-noise -adapterit,"133,6 x 124 x 158 mm"
89,https://www.jimms.fi/fi/Product/Show/127856/nh-l9x65-se-am4/noctua-nh-l9x65-se-am4-prosessorijaahdytin-amd-am4,59.9,Nh-l9x65 se-am4,Noctua,COOLER_159137-ig800gg.jpg,https://ic.jimms.fi/product/3/2/159137-ig800gg.jpg,Amd am4,Katso,2500 rpm,"23,6 db(a)",51 x 95 x 95 mm
90,https://www.jimms.fi/fi/Product/Show/185989/ey3a008/endorfy-fortis-5-prosessorijaahdytin,54.9,Fortis 5,Endorfy,COOLER_407358-ig800gg.jpg,https://ic.jimms.fi/product/5/1/407358-ig800gg.jpg,"Lga1700, lga1200, lga1150, lga1151, lga1155, lga1156, lga775, lga2066, lga2011-3, lga2011 (square ilm); amd: am5, am4, am3(+), am2(+), fm2(+), fm1",220 w,250 (+/- 100) - 1400 (+/- 10 %) rpm,,159 x 144 x 107 mm
91,https://www.jimms.fi/fi/Product/Show/197319/nh-l9x65-chromax-black/noctua-nh-l9x65-chromax-black-prosessorijaahdytin,72.9,Nh-l9x65 chromax.black,Noctua,COOLER_469035-ig800gg.jpg,https://ic.jimms.fi/product/3/4/469035-ig800gg.jpg,"Intel lga1851, lga1700, lga1200, lga1156, lga1155, lga1151, lga1150; amd am5, am4",Katso nspr,Maksimi kierrosnopeus (+/- 10 %): 2500 rpm / 1800 rpm,"23,6 db(a) / 14,8 db(a)",
92,https://www.jimms.fi/fi/Product/Show/185201/r-ak620-bknnmt-g-1/deepcool-ak620-zero-dark-prosessorijaahdytin,77.9,Ak620 zero dark,DeepCool,COOLER_413491-ig800gg.jpg,https://ic.jimms.fi/product/9/8/413491-ig800gg.jpg,Lga2066 / 2011-v3 / 2011 / 1700 / 1200 / 1151 / 1150 / 1155; amd: am5 / am4,,500 ~ 1850 rpm +/- 10 %,</= 28 db(a),129 x 138 x 160 mm
93,https://www.jimms.fi/fi/Product/Show/115816/cr-h5b/cryorig-prosessorijaahdytin-h5-ultimate,54.9,H5 ultimate,Cryorig,COOLER_128887-ig800gg.jpg,https://ic.jimms.fi/product/8/2/128887-ig800gg.jpg,"Intel: lga 2066, 2011(-3), 1150, 1151, 1155, 1156, 1200; amd: fm1, fm2/+, am2/+, am3/+, am4",180 w,,,
94,https://www.jimms.fi/fi/Product/Show/194654/aptc-pf30517-21/apnx-ap1-v-argb-wh-prosessorijaahdytin-valkoinen,49.9,Ap1-v argb wh,APNX,COOLER_465190-ig800gg.jpg,https://ic.jimms.fi/product/9/9/465190-ig800gg.jpg,Lga 1700/1200/115x; amd: am4/am5,245 w,Pwm 600 - 1800 rpm,"16,1 - 32,8 dba","128 x 76,5 x 157 mm (128 x 92 x 157 mm kiinnikkeillä)"
95,https://www.jimms.fi/fi/Product/Show/79218/black-series-genesis/prolimatech-genesis-black-series-cpu-cooleri,79.9,Genesis black series cpu-cooleri,Prolimatech,COOLER_77097-ig800gg.jpg,https://ic.jimms.fi/product/9/2/77097-ig800gg.jpg,Intel lga775/155/1156/1200/1366/2011 ja amd am2(+)/am3(+)/fm1/fm2,,"120x120x25mm, 140x140x25mm, 800~1600rpm",,146 x 216.5 x 160mm
96,https://www.jimms.fi/fi/Product/Show/187319/ak-cc6607ep01/akasa-intel-lga1700-ali-screw-backplate-cooler-pwm,19.9,Intel lga1700,Akasa,COOLER_414587-ig800gg.jpg,https://ic.jimms.fi/product/8/2/414587-ig800gg.jpg,Intel® lga1700,80w tdp,600-3000 rpm (pwm controlled),36.6 db(a),95 x 95 x 64.5mm (w x d x h)
97,https://www.jimms.fi/fi/Product/Show/187462/r-ak500-whnnmt-g/deepcool-ak500-wh-prosessorijaahdytin,67.9,Ak500 wh,DeepCool,COOLER_415508-ig800gg.jpg,https://ic.jimms.fi/product/0/1/415508-ig800gg.jpg,Lga2066 / 2011-v3 / 2011 / 1700 / 1200 / 1151 / 1150 / 1155; amd: am5 / am4,,500 ~ 1850 rpm +/- 10 % / lsp kanssa 500 ~ 1550 rpm +/- 10 %,"</= 31,5 db(a) / lsp kanssa </= 25,9 db(a)",127 x 117 x 158 mm
98,https://www.jimms.fi/fi/Product/Show/164950/cr-r5a/cryorig-r5-prosessorijaahdytin,73.9,R5,Cryorig,COOLER_298666-ig800gg.jpg,https://ic.jimms.fi/product/6/3/298666-ig800gg.jpg,1 x r5; 1 x intel lga115x -taustalevy; 1 x multiseg bracket; 4 x am4 ruuvipilari; 4 x sormiruuvin päällisosaa; 4 x ruuvipilari; 4 x lga 2011 ruuvipilari; 4 x akustinen värinän vaimennin; 1 x cp-7; 1 x alkoholipuhdistusliina; 1 x hex wrench -työkalu; 1 x pwm y-kaapeli; amd: fm1 / fm2(+) / am3(+) / am4,200w,700 ~ 1300 rpm +/- 10 %,19 ~ 23 dba,"97,8 x 140 x 162,8 mm"
99,https://www.jimms.fi/fi/Product/Show/107572/sst-ar05/silverstone-argon-sst-ar05-low-profile-cpu-jaahdytin-92mm-tuulettimella,37,Argon sst-ar05 low-profile cpu-jäähdytin 92mm tuulettimella,SilverStone,COOLER_114066-ig800gg.jpg,https://ic.jimms.fi/product/6/3/114066-ig800gg.jpg,Intel socket lga115x/1200 / amd am2/am3/fmx,,"92mm x 92mm x 15mm, 20-28.3 dba, kuulalaakeri, 40.2cfm, 1200~2500rpm","92mm x 92mm x 15mm, 20-28.3 dba, kuulalaakeri, 40.2cfm, 1200~2500rpm",104mm (l) x 92mm (s) x 36.7mm (k) (tuulettimella)
