ID,Url,Price,Name,Manufacturer,Image,Image_Url,Core_Count,Thread_Count,Base_Clock,Cache,Socket,Cpu_Cooler,TDP,Integrated_GPU
52,https://www.jimms.fi/fi/Product/Show/185915/100-100000447wof/amd-ryzen-threadripper-pro-5955wx-swrx8-4-0ghz-73mb-16-core,1399.9,Ryzen threadripper pro 5955wx,AMD,CPU_406767-ig800gg.jpg,https://ic.jimms.fi/product/6/2/406767-ig800gg.jpg,16,32,4.0 ghz,L1: 1 mb,Swrx8,,280w,
53,https://www.jimms.fi/fi/Product/Show/184472/bx8071513700k/intel-core-i7-13700k-lga1700-3-40-ghz-30mb-boxed,479.9,Core i7-13700k,Intel,CPU_405410-ig800gg.jpg,https://ic.jimms.fi/product/1/9/405410-ig800gg.jpg,16 (8p + 8e),24,"3.40 ghz (base, p-core) / 2.50 ghz (base, e-core)",30 mb,Lga1700,,125w,Intel® uhd graphics 770
54,https://www.jimms.fi/fi/Product/Show/182114/100-000000041-bst2/amd-b-stock-epyc-7262-sp3-3-2-ghz-128mb-tray,269.9,(b-stock) epyc 7262,AMD,CPU_386898-ig800gg.jpg,https://ic.jimms.fi/product/9/1/386898-ig800gg.jpg,8,16,3.2 ghz,128 mb,Sp3,,155 w,
55,https://www.jimms.fi/fi/Product/Show/192207/cm8071504820403/intel-core-i9-13900t-lga1700-1-10-ghz-36mb-tray,653.9,Core i9-13900t,Intel,CPU_440407-ig800gg.jpg,https://ic.jimms.fi/product/0/2/440407-ig800gg.jpg,24 (8p + 16e),32,"1.10 ghz (base, p-core) / 0.80 ghz (base, e-core)",36 mb,Lga1700,,35w,Intel® uhd graphics 770
56,https://www.jimms.fi/fi/Product/Show/187564/100-000000798/amd-epyc-9354-sp5-3-25-ghz-32-core-tray,3645.9,Epyc 9354,AMD,CPU_416141-ig800gg.jpg,https://ic.jimms.fi/product/4/8/416141-ig800gg.jpg,32,64,3.25 ghz,256 mb,Sp5,,280 w,
57,https://www.jimms.fi/fi/Product/Show/180901/100-100000147box/amd-ryzen-5-4600g-am4-3-7-ghz-6-core-radeon-graphics-boxed,109.9,Ryzen 5 4600g,AMD,CPU_386624-ig800gg.jpg,https://ic.jimms.fi/product/2/5/386624-ig800gg.jpg,6,12,3.7 ghz,8mb,Am4,Tbd,65w,Radeon graphics
58,https://www.jimms.fi/fi/Product/Show/196455/100-000000875/amd-epyc-8534p-sp6-2-3-ghz-64-core-tray,4888.9,Epyc 8534p,AMD,CPU_463869-ig800gg.jpg,https://ic.jimms.fi/product/6/0/463869-ig800gg.jpg,64,128,2.3 ghz,128 mb,Sp6,,200 w,
59,https://www.jimms.fi/fi/Product/Show/181562/100-000000508/amd-epyc-7373x-sp3-3-05-ghz-16-core-tray,4459.9,Epyc 7373x,AMD,CPU_383940-ig800gg.jpg,https://ic.jimms.fi/product/4/9/383940-ig800gg.jpg,16,32,3.05 ghz,768 mb,Sp3,,240 w,
60,https://www.jimms.fi/fi/Product/Show/180896/100-100000927box/amd-ryzen-5-5600-am4-3-5-ghz-6-core-boxed,149.9,Ryzen 5 5600,AMD,CPU_380809-ig800gg.jpg,https://ic.jimms.fi/product/0/0/380809-ig800gg.jpg,6,12,3.5 ghz,32mb,Am4,Amd wraith stealth,65w,
61,https://www.jimms.fi/fi/Product/Show/191503/pk8071305128700/intel-xeon-w3-2435-lga4677-3-10ghz-22-5mb-tray,901.9,Xeon w3-2435,Intel,CPU_436535-ig800gg.jpg,https://ic.jimms.fi/product/3/4/436535-ig800gg.jpg,"8 (8 p-core, 0 e-core)",16,3.10 ghz (base),22.5 mb intel smart cache,Lga4677,,165 w,
62,https://www.jimms.fi/fi/Product/Show/165641/bx8070110100f/intel-core-i3-10100f-lga1200-3-60-ghz-6mb-boxed,77.9,Core i3-10100f,Intel,CPU_301919-ig800gg.jpg,https://ic.jimms.fi/product/1/0/301919-ig800gg.jpg,4,8,3.60 ghz,6mb,Lga1200,,65w,
63,https://www.jimms.fi/fi/Product/Show/178217/bx8071512900/intel-core-i9-12900-lga1700-2-40-ghz-30mb-boxed,549.9,Core i9-12900,Intel,CPU_366589-ig800gg.jpg,https://ic.jimms.fi/product/8/0/366589-ig800gg.jpg,16 (8p + 8e),24,2.4 ghz (base),30mb,Lga1700,,65w,Intel® uhd graphics 770
64,https://www.jimms.fi/fi/Product/Show/187566/100-000000794/amd-epyc-9274f-sp5-4-05-ghz-24-core-tray,3285.9,Epyc 9274f,AMD,CPU_416147-ig800gg.jpg,https://ic.jimms.fi/product/4/2/416147-ig800gg.jpg,24,48,4.05 ghz,256 mb,Sp5,,320 w,
